style="	内嵌css
column-rule	设置所有 column-rule-* 属性的简写属性。
column-rule-color	规定列之间规则的颜色。
column-rule-style	规定列之间规则的样式。
column-rule-width	规定列之间规则的宽度。
column-span	规定元素应该横跨的列数。
column-width	规定列的宽度。
columns	规定设置column-width和column-count的简写属性。
CSS_内边距属性（Padding）
padding	在一个声明中设置所有内边距属性。
padding-bottom	设置元素的下内边距。
padding-left	设置元素的左内边距。
padding-right	设置元素的右内边距。
padding-top	设置元素的上内边距。
CSS_PagedMedia属性
fit	示意如何对width和height属性均不是auto的被替换元素进行缩放。
fit-position	定义盒内对象的对齐方式。
image-orientation	规定用户代理应用于图像的顺时针方向旋转。
page	规定元素应该被显示的页面特定类型。
size	规定页面内容包含框的尺寸和方向。
CSS_定位属性（Positioning）
bottom	设置定位元素下外边距边界与其包含块下边界之间的偏移。
clear	规定元素的哪一侧不允许其他浮动元素。
clip	剪裁绝对定位元素。
cursor	规定要显示的光标的类型（形状）。
display	规定元素应该生成的框的类型。
display:none	此元素不会被显示。
display:block	此元素将显示为块级元素，此元素前后会带有换行符。
display:inline	默认。此元素会被显示为内联元素，元素前后没有换行符。
display:inline-block	行内块元素。（CSS2.1 新增的值）
display:list-item	此元素会作为列表显示。
display:run-in	此元素会根据上下文作为块级元素或内联元素显示。
display:table	此元素会作为块级表格来显示（类似 <table>），表格前后带有换行符。
display:inline-table	此元素会作为内联表格来显示（类似 <table>），表格前后没有换行符。
display:table-row-group	此元素会作为一个或多个行的分组来显示（类似 <tbody>）。
display:table-header-group	此元素会作为一个或多个行的分组来显示（类似 <thead>）。
display:table-footer-group	此元素会作为一个或多个行的分组来显示（类似 <tfoot>）。
display:table-row	此元素会作为一个表格行显示（类似 <tr>）。
display:table-column-group	此元素会作为一个或多个列的分组来显示（类似 <colgroup>）。
display:table-column	此元素会作为一个单元格列显示（类似 <col>）
display:table-cell	此元素会作为一个表格单元格显示（类似 <td> 和 <th>）
display:table-caption	此元素会作为一个表格标题显示（类似 <caption>）
display:inherit	规定应该从父元素继承 display 属性的值。
float	规定框是否应该浮动。
float:left	设置定位元素左外边距边界与其包含块左边界之间的偏移
float:overflow	规定当内容溢出元素框时发生的事情
float:position	规定元素的定位类型
float:right	设置定位元素右外边距边界与其包含块右边界之间的偏移
float:top	设置定位元素的上外边距边界与其包含块上边界之间的偏移
float:vertical-align	设置元素的垂直对齐方式
float:visibility	规定元素是否可见
float:z-index	设置元素的堆叠顺序
CSS_打印属性（Print）
orphans	设置当元素内部发生分页时必须在页面底部保留的最少行数
page-break-after	设置元素后的分页行为
page-break-before	设置元素前的分页行为
page-break-inside	设置元素内部的分页行为
widows	设置当元素内部发生分页时必须在页面顶部保留的最少行数
CSS_表格属性（Table）
border-collapse	规定是否合并表格边框
border-spacing	规定相邻单元格边框之间的距离
caption-side	规定表格标题的位置
empty-cells	规定是否显示表格中的空单元格上的边框和背景
table-layout	设置用于表格的布局算法
CSS_文本属性（Text）
color	设置文本的颜色
direction	规定文本的方向/书写方向
letter-spacing	设置字符间距
line-height	设置行高
text-align	规定文本的水平对齐方式
text-align:left	把文本排列到左边默认值：由浏览器决定
text-align:right	把文本排列到右边
text-align:center	把文本排列到中间
text-align:justify	实现两端对齐文本效果
text-align:inherit	规定应该从父元素继承text-align属性的值
text-decoration	规定添加到文本的装饰效果
text-decoration:none	默认。定义标准的文本
text-decoration:underline	定义文本下的一条线
text-decoration:overline	定义文本上的一条线
text-decoration:line-through	定义穿过文本下的一条线
text-decoration:blink	定义闪烁的文本
text-decoration:inherit	规定应该从父元素继承 text-decoration 属性的值
text-indent	规定文本块首行的缩进
text-shadow	规定添加到文本的阴影效果
text-transform	控制文本的大小写
unicode-bidi	设置文本方向
white-space	规定如何处理元素中的空白。
word-spacing	设置单词间距。
hanging-punctuation	规定标点字符是否位于线框之外。
punctuation-trim	规定是否对标点字符进行修剪。
text-align-last	设置如何对齐最后一行或紧挨着强制换行符之前的行。
text-emphasis	向元素的文本应用重点标记以及重点标记的前景色。
text-justify	规定当text-align设置为"justify"时所使用的对齐方法。
text-outline	规定文本的轮廓。
text-overflow	规定当文本溢出包含元素时发生的事情。
text-shadow	向文本添加阴影。
text-wrap	规定文本的换行规则。
word-break	规定非中日韩文本的换行规则。
word-wrap	允许对长的不可分割的单词进行分割并换行到下一行。
CSS_2D/3D	转换属性（Transform）
transform	向元素应用2D或3D转换。
transform-origin	允许你改变被转换元素的位置。
transform-style	规定被嵌套元素如何在 3D 空间中显示。
perspective	规定3D元素的透视效果。
perspective-origin	规定3D元素的底部位置。
backface-visibility	定义元素在不面对屏幕时是否可见。
CSS_过渡属性（Transition）
transition	简写属性，用于在一个属性中设置四个过渡属性。
transition-property	规定应用过渡的CSS属性的名称。
transition-duration	定义过渡效果花费的时间。
transition-timing-function	规定过渡效果的时间曲线。
transition-delay	规定过渡效果何时开始。
CSS_用户界面属性（User-interface）
appearance	允许您将元素设置为标准用户界面元素的外观
box-sizing	允许您以确切的方式定义适应某个区域的具体内容。
icon	为创作者提供使用图标化等价物来设置元素样式的能力。
nav-down	规定在使用arrow-down导航键时向何处导航。
nav-index	设置元素的tab键控制次序。
nav-left	规定在使用arrow-left导航键时向何处导航。
nav-right	规定在使用arrow-right导航键时向何处导航。
nav-up	规定在使用arrow-up导航键时向何处导航。
outline-offset	对轮廓进行偏移，并在超出边框边缘的位置绘制轮廓。
resize	规定是否可由用户对元素的尺寸进行调整。
unquote($string)	删除字符串中的引号；
quote($string)	给字符串添加引号。
percentage($value)	将一个不带单位的数转换成百分比值；
round($value)	将数值四舍五入，转换成一个最接近的整数；
ceil($value)	将大于自己的小数转换成下一位整数；
floor($value)	将一个数去除他的小数部分；
abs($value)	返回一个数的绝对值；
min($numbers…)	找出几个数值之间的最小值；
max($numbers…)	找出几个数值之间的最大值。
length($list)	返回一个列表的长度值；
nth($list, $n)	返回一个列表中指定的某个标签值
join($list1, $list2, [$separator])	将两个列给连接在一起，变成一个列表；
append($list1, $val, [$separator])	将某个值放在列表的最后；
zip($lists…)	将几个列表结合成一个多维的列表；
index($list, $value)	返回一个值在列表中的位置值
type-of($value)	返回一个值的类型
unit($number)	返回一个值的单位；
unitless($number)	判断一个值是否带有带位
comparable($number-1, $number-2)	判断两个值是否可以做加、减和合并
